	Gujrati	English
0	મુખપૃષ્ઠ	Main Page
3	કુદરત	Nature
4	નરસિંહ મહેતા	Narsinh Mehta
5	કનૈયાલાલ મુનશી	Kanaiyalal Maneklal Munshi
6	સ્ટબ	Stub
7	રાષ્ટ્રીય પ્રતિજ્ઞા 	National Pledge 
9	ગુજરાતી સાહિત્યકારો	List of Gujarati-language writers
10	ગુજરાત	Gujarat
11	મહાત્મા ગાંધી	Mahatma Gandhi
12	ગરબા	Garba 
13	અમદાવાદ	Ahmedabad
15	ચોતરો	Village pump
16	Villagepumppages	Village pump page header
19	દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Vital articles
20	મીરાંબાઈ	Meera
22	ભાષાંતર	Not English
23	વિકિપીડિયા	Wikipedia
24	પ્રબંધક	Administrators
25	મુંબઈ	Mumbai
26	સહપરિયોજનાઓ	Wikipedia's sister projects
27	હુર્રિયત પરિષદ	All Parties Hurriyat Conference
28	કાશ્મીર	Kashmir
29	૧૯૯૩	1993
30	પાકિસ્તાન	Pakistan
31	લોક સભા	Lok Sabha
32	કરોડ	Crore
33	કોંગ્રેસ	Congress
34	દયારામ	Dayaram
35	માર્ક ટ્વેઇન	Mark Twain
36	લાહોર	Lahore
37	ઢાકા	Dhaka
38	વર્જિન એટલાંટિક	Virgin Atlantic
40	એમ એફ હુસૈન	M. F. Husain
41	બિહાર	Bihar
42	મુકેશ	Mukesh 
43	વેલિંગ્ટન	Wellington
44	થાઇલેન્ડ	Thailand
45	આસામ	Assam
47	આફ્રિકા	Africa
48	નરેન્દ્ર મોદી	Narendra Modi
50	ગુજરાતી લોકો	Gujarati people
51	હિંદી ભાષા	Hindi
52	નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
53	ગોડફ્રી હેરોલ્ડ હાર્ડી	G. H. Hardy
54	નિષ્પક્ષતા	POV
56	ભૂગોળ	Geography
57	લતા મંગેશકર	Lata Mangeshkar
58	આશા ભોંસલે	Asha Bhosle
59	સચિન તેંડુલકર	Sachin Tendulkar
60	રમત	Sport
61	કલા	Arts
62	વડોદરા	Vadodara
63	ઇતિહાસ	History
64	આવર્ત કોષ્ટક	Periodic table
65	આમિર ખાન	Aamir Khan
66	શાહરૂખ ખાન	Shah Rukh Khan
67	અવિનાશ વ્યાસ	Avinash Vyas
68	અમિતાભ બચ્ચન	Amitabh Bachchan
69	ગણિત	Mathematics
70	વિજ્ઞાન	Science
71	ગુજરાત	Gujarat
72	ભારત	India
73	ભારતની સંસદ	Parliament of India
74	સમાચાર	News
75	સાહિત્ય	Literature
76	શ્રીનિવાસ રામાનુજન	Srinivasa Ramanujan
77	અખા ભગત	Akha Bhagat
78	જગદીશચંદ્ર બોઝ	Jagadish Chandra Bose
79	વિક્રમ સારાભાઈ	Vikram Sarabhai
80	ઐશ્વર્યા રાય	Aishwarya Rai
81	કાજોલ	Kajol
82	પ્રયોગસ્થળ	Sandbox
83	Please leave this line alone 	Sandbox heading
84	રાની મુખર્જી	Rani Mukerji
85	સુધારો	Cleanup
87	સબસ્ટબ	Substub
88	સીદીસૈયદની જાળી	Sidi Saiyyed Mosque
89	ભૂમિતિ	Geometry
90	સુરત	Surat
91	Wikipedia cleanup	Articles needing cleanup
92	લંડન	London
93	જાપાન	Japan
94	કાંકરિયા તળાવ	Kankaria Lake
95	મહાભારત	Mahabharata
96	ઉદ્યોગ	Industry
97	ધર્મ	Religion
98	મહાભારત	Mahabharata
99	ભાવનગર જિલ્લો	Bhavnagar district
100	ભાવનગર	Bhavnagar
101	એશિયાઇ સિંહ	Lion
102	ગુજરાતનાં શહેરો અને નગરો	Cities and towns in Gujarat
103	કચ્છ જિલ્લો	Kutch district
104	ભુજ	Bhuj
105	સોમનાથ	Somnath temple
106	નર્મદા નદી	Narmada River
107	હોમી ભાભા	Homi J. Bhabha
108	અંજાર	Anjar, Gujarat
109	માંડવી 	Mandvi
110	બેંગલોર	Bangalore
111	લાખ	Lakh
112	મારે સભ્ય શા માટે થવું જોઇએ?	Why create an account?
113	સુનામી	Tsunami
114	ધરતીકંપ	Earthquake
115	ખગોળશાસ્ત્ર	Astronomy
116	ભૌતિકશાસ્ત્ર	Physics
117	રાજ્ય સભા	Rajya Sabha
118	ભારતના રાષ્ટ્રપતિ	President of India
119	ભારતના વડાપ્રધાન	List of Prime Ministers of India
120	સૂર્યમંડળ	Solar System
121	રસાયણ શાસ્ત્ર	Chemistry
122	Imdb name	IMDb name
123	આવર્ત કોષ્ટક	Periodic table 
124	કાર્બન	Carbon
125	ચંદ્ર	Moon
126	વર્તુળનો વ્યાસ	Diameter
127	જાણીતા પ્રશ્નો	FAQ
128	વર્તુળની ત્રિજ્યા	Radius 
129	વિકિસ્રોત	Wikisource
130	વિકિમીડિયા	Wikimedia
131	ફ્રાન્સ	France
132	મોર	Peafowl
133	નિહારિકા	Nebula
134	પ્રકાશવર્ષ	Light-year
135	નક્ષત્ર	Constellation
136	વાઘ	Tiger
138	સૂર્ય	Sun
139	બુધ 	Mercury 
140	શુક્ર 	Venus
141	પૃથ્વી	Earth
142	મંગળ 	Mars
143	ગુરુ 	Jupiter
144	શનિ 	Saturn
145	યુરેનસ 	Uranus
146	નૅપ્ચ્યુન 	Neptune
147	ઉદકજન	Hydrogen
148	પ્રાણવાયુ 	Oxygen
149	હીલિયમ	Helium
150	ગુરુ	Guru
151	પ્લૂટો	Pluto
152	ક્રિકેટ	Cricket
153	જન ગણ મન	Jana Gana Mana
154	ઍન્ટાર્કટિકા	Antarctica
155	એશિયા	Asia
156	યુરોપ	Europe
157	ઉત્તર અમેરિકા	North America
158	દક્ષિણ અમેરિકા	South America
159	અફઘાનિસ્તાન	Afghanistan
160	ઉષ્મા	Heat
162	ભૂગોળ સ્ટબ	Geography stubs
164	વિજ્ઞાન સ્ટબ	Science stubs
165	વિજ્ઞાન	Science
166	ધૂમકેતુ	Comet
167	ક્ષ-કિરણો	X-ray
168	ગંગા નદી	Ganges
169	ટેમ્પ્લેટ સૂચનાઓ	Template messages
170	વિકિપીડિયા મદદ	Wikipedia help
171	વિદ્યુત-ચુંબકીય તરંગો	Electromagnetic wave
172	તરંગલંબાઈ	Wavelength
173	દ્રવ્યમાન	Mass
174	બળ	Force
175	મહારાષ્ટ્ર	Maharashtra
176	મધ્ય પ્રદેશ	Madhya Pradesh
177	છત્તીસગઢ	Chhattisgarh
178	પ્રકાશનાધિકાર	Copyrights
179	Text of the GNU Free Documentation License	Text of the GNU Free Documentation License, version 1.2
180	જી એફ ડી એલ 	GNU Free Documentation License
181	પબ્લિક ડોમેન	Public domain
182	ઉચિત વપરાશ	Fair use
183	ઉચિત વપરાશ	GFDL
185	રાજસ્થાન	Rajasthan
186	ચંદ્રકાંત બક્ષી	Chandrakant Bakshi
187	ગણિત	Mathematics
188	હિન્દુ-અરેબીક અંકો	Arabic numerals
189	અંક પદ્ધતિ	Numeral systems
190	દિલ્હી	Delhi
193	CyeZBot~guwiki	CyeZBot
196	ગાંધી આશ્રમ	Sabarmati Ashram
197	અલંગ	Alang
198	લોકશાહી	Democracy
200	ઇમરાન ખાન	Imran Khan
202	જ્યોતીન્દ્ર દવે	Jyotindra Dave
203	ભાષા	Language
204	ભારતની ભાષાઓની સૂચી	Languages of India
205	જામનગર	Jamnagar
206	ચલાલા 	Chalala
207	ભૂગોળ	Geography
208	વિકિમીડિયા કૉમન્સ	Wikimedia Commons
209	ક્ષેત્રફળ	Area
210	૨૦૦૧	2001
211	ચીન	China
212	અરુણાચલ પ્રદેશ	Arunachal Pradesh
213	ઉત્તર પ્રદેશ	Uttar Pradesh
214	ઉત્તરાખંડ	Uttarakhand
215	આંધ્ર પ્રદેશ	Andhra Pradesh
216	કર્ણાટક	Karnataka
217	કેરળ	Kerala
218	ગોઆ	Goa
219	જમ્મુ અને કાશ્મીર	Jammu and Kashmir
220	ઝારખંડ	Jharkhand
221	તમિલનાડુ	Tamil Nadu
222	ત્રિપુરા	Tripura
223	નાગાલેંડ	Nagaland
224	મણિપુર	Manipur
225	મિઝોરમ	Mizoram
226	મેઘાલય	Meghalaya
227	સિક્કિમ	Sikkim
228	પશ્ચિમ બંગાળ	West Bengal
229	પંજાબ, ભારત	Punjab, India
230	હરિયાણા	Haryana
231	હિમાચલ પ્રદેશ	Himachal Pradesh
232	અંદામાન અને નિકોબાર દ્વીપસમૂહ	Andaman and Nicobar Islands
233	ચંડીગઢ	Chandigarh
234	દાદરા અને નગરહવેલી	Dadra and Nagar Haveli
235	દમણ અને દીવ	Daman and Diu
236	મહેસાણા જિલ્લો	Mehsana district
237	પુડુચેરી	Puducherry
238	લક્ષદ્વીપ	Lakshadweep
239	કેન્દ્રશાસિત પ્રદેશ	Union territory
240	જયંતિ દલાલ	Jayanti Dalal
242	સાહિત્ય-સ્ટબ	Lit-stub
243	સાહિત્ય સ્ટબ	Literature stubs
244	અંગ્રેજી ભાષા	English language
245	ભાષાઓ	Languages
246	અમદાવાદ જિલ્લો	Ahmedabad district
247	યુનાઇટેડ સ્ટેટ્સ ઓફ અમેરિકા	United States
248	સાબરકાંઠા જિલ્લો	Sabarkantha district
249	ભરૂચ જિલ્લો	Bharuch district
250	લીંબુ	Lemon
251	ગાંધીનગર	Gandhinagar
252	વૅલેન્શિયન	Valencian
253	વૅલેન્શિયા નો પ્રદેશ	Valencian Community
254	દેશ	Countries
255	સંસ્કૃતિ	Culture
256	વ્યક્તિત્વ	People
257	ઑસ્ટ્રિયા	Austria
259	Book covers	Fair use images of book covers
260	સ્વાગત	Introduction
261	સત્ય ઇસુ દેવળ	True Jesus Church
263	ધોધ	Waterfall
264	Koavf	koavf
265	નેપાળ	Nepal
266	રોટલી	Roti
268	ઇસ્લામ	Islam
269	ભારતનો રાષ્ટ્રધ્વજ	Flag of India
270	મુહમ્મદ	Muhammad
272	ફ્રી સૉફ્ટવૅર	Free software
273	શાકાહારી	Vegetarianism
275	ભાત 	Bhat, Daskroi
278	ચેન્નઈ	Chennai
279	રમેશ પારેખ	Ramesh Parekh
280	પાલનપુર	Palanpur
282	રઘુવીર ચૌધરી	Raghuveer Chaudhari
284	ઉંઝા	Unjha
286	વલસાડ જિલ્લો	Valsad district
287	દુનિયાની પ્રાચીન સાત અજાયબીઓ	Seven Wonders of the Ancient World
288	પાલીતાણા	Palitana
289	ઉનાવા	Unava
290	રાજકોટ	Rajkot
292	નેપાલ ભાષા	Newar language
293	જામનગર જિલ્લો	Jamnagar district
294	તાપી નદી	Tapti River
295	નર્મદા જિલ્લો	Narmada district
296	યાક	Wild yak
299	સનેડો	Sanedo
300	વંદે માતરમ્	Vande Mataram
301	Mitul0520	mitul0520
304	તાંબુ	Copper
305	નેપાલ સ્કાઉટ	Nepal Scouts
306	અમરેલી જિલ્લો	Amreli district
308	તત્ત્વ	Chemical element
309	બનાસકાંઠા જિલ્લો	Banaskantha district
310	Delete	Db
311	રામાયણ	Ramayana
312	Scooter	ScooterDe
313	હિંદુ	Hindu
314	સિંધુ	Indus River
316	માન સરોવર	Lake Manasarovar
317	ચાણક્ય	Chanakya
318	શિવાજી	Shivaji
319	યુગ	Yuga
320	સત્યયુગ	Satya Yuga
321	ત્રેતાયુગ	Treta Yuga
322	દ્વાપરયુગ	Dvapara Yuga
323	કળિયુગ	Kali Yuga
324	જુનાગઢ જિલ્લો	Junagadh district
325	ગિરનાર	Girnar
326	ભારતના ભાગલા	Partition of India
328	મુન્દ્રા	Mundra
329	સ્વાધ્યાય	Svādhyāya
331	શ્રીમદ્ ભગવદ્ ગીતા	Bhagavad Gita
332	મૌર્ય સામ્રાજ્ય	Maurya Empire
336	એઇડ્સ	HIV/AIDS
337	કાઠમંડુ	Kathmandu
338	દૂતાવાસ	Embassy
339	વેગમાન સંરક્ષણનો નિયમ	Momentum
340	પાટણ જિલ્લો	Patan district
341	આણંદ જિલ્લો	Anand district
342	ખેડા જિલ્લો	Kheda district
343	ડાંગ જિલ્લો	Dang District, India
344	સુરેન્દ્રનગર જિલ્લો	Surendranagar district
345	સંસ્કૃત ભાષા	Sanskrit
346	શ્રી રામ ચરિત માનસ	Ramcharitmanas
347	તુલસીદાસ	Tulsidas
352	ગુજરાતની ભૂગોળ	Geography of Gujarat
353	ગાંધીનગર જિલ્લો	Gandhinagar district
356	સાબરમતી નદી	Sabarmati River
357	પ્રસ્તુત લેખ	Today's featured article
358	Infobox Indian Jurisdiction	Infobox Indian jurisdiction
361	Coor URL/doc	Coor URL
362	વાદળ	Cloud
363	સિકંદર	Alexander the Great
364	લક્ષ્મી વિલાસ મહેલ	Laxmi Vilas Palace, Vadodara
365	ફારસી ભાષા	Persian language
369	પોરબંદર	Porbandar
372	રાણી લક્ષ્મીબાઈ	Rani of Jhansi
373	ઝાંસી	Jhansi
374	અરબી સમુદ્ર	Arabian Sea
375	સ્વાધ્યાય પરિવાર	Swadhyay Parivar
376	રામ	Rama
377	ગૌતમ બુદ્ધ	Gautama Buddha
378	આદિ શંકરાચાર્ય	Adi Shankara
379	કાલિદાસ	Kālidāsa
380	આર્યભટ્ટ	Aryabhata
381	અશોક	Ashoka
382	અકબર	Akbar
383	સ્વામી વિવેકાનંદ	Swami Vivekananda
384	સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
385	સીતા	Sita
386	Idw	Fdw
387	Bookcover	Non-free book cover
389	Non-free image copyright tags	Wikipedia non-free file copyright templates
390	અક્ષાંશ-રેખાંશ	Geographic coordinate system
391	સ્ટબ	Network topology
392	રાજધાની	Capital city
393	રાજા રવિ વર્મા	Raja Ravi Varma
394	કરમસદ	Karamsad
395	Public domain images	Public domain files
396	Images	Wikipedia images
397	નત્રલવાયુ	Nitrogen
398	લોખંડ	Iron
399	ચાંદી	Silver
400	સોનું	Gold
401	સિલિકોન	Silicon
402	ગુજરાતનાં વન્યજીવો	Fauna of Gujarat
404	સૌરાષ્ટ્ર	Saurashtra 
405	વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
407	સ્ટબ	Stubs
408	Stub Category	Stub category
409	બાલી	Bali
411	પટના	Patna
412	કૃષ્ણ વિવર	Black hole
413	વસતી વધારો	Population growth
414	આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
415	ભ્રષ્ટાચાર	Corruption
416	દક્ષિણ એશીયાનો ઇતિહાસ	History of South Asia
417	Tnavbar	Navbar
418	સિદ્ધરાજ જયસિંહ	Jayasimha Siddharaja
419	ભાગીરથી	Bhagirathi River
420	નેપાળી ભાષા	Nepali language
422	ગઢડા	Gadhada
423	મૂડીવાદ	Capitalism
424	ભારતીય વિશ્વવિદ્યાલય	List of universities in India
425	સત્યજીત રે	Satyajit Ray
426	આયુર્વેદ	Ayurveda
427	રાવણ	Ravana
428	યજ્ઞ	Yajna
430	મહારાજા સયાજીરાવ વિશ્વવિદ્યાલય	Maharaja Sayajirao University of Baroda
431	મહાદેવી વર્મા	Mahadevi Varma
432	હિમાલય	Himalayas
433	અરવલ્લી	Aravalli Range
434	ભારતના પર્વતો	Mountains of India
435	નીલગિરિ	Nilgiri Mountains
436	ગુજરાતની નદીઓ	Rivers of Gujarat
439	ભરૂચ	Bharuch
440	શૂદ્ર	Shudra
447	ઝવેરચંદ મેઘાણી	Jhaverchand Meghani
448	કવિ	Poet
449	સત્ય	Truth
450	નર્મદ	Narmad
451	યાજ્ઞવલ્કય	Yajnavalkya
452	નળ સરોવર	Nal Sarovar Bird Sanctuary
453	રવિશંકર રાવળ	Ravishankar Raval
454	મોઢેરા	Modhera
455	બોટાદ	Botad
456	વલ્લભીપુર	Vallabhi
457	અય્યાવળિ	Ayyavazhi
458	યુરોપ	Europe
459	ભારતની નદીઓ	Rivers of India
460	મહાસાગર	Oceans
461	સોનિયા ગાંધી	Sonia Gandhi
462	હનુમાન	Hanuman
463	એન્ડ્ર્યૂ સાયમન્ડ્સ	Andrew Symonds
464	નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
465	અંક પદ્ધતિ	Numeral systems
468	વલ્લભભાઈ પટેલ	Vallabhbhai Patel
469	માતર	Matar, Kheda
470	નિરંજન ભગત	Niranjan Bhagat
471	હરીન્દ્ર દવે	Harindra Dave
472	અનિલ જોશી	Anil R. Joshi
473	વર્ષા અડાલજા	Varsha Adalja
474	સુરેશ જોષી	Suresh Joshi
475	ભોળાભાઈ પટેલ	Bholabhai Patel
476	કાકાસાહેબ કાલેલકર	Kaka Kalelkar
477	ઉમાશંકર જોષી	Umashankar Joshi
478	બાણભટ્ટ	Bāṇabhaṭṭa
479	નગીનદાસ પારેખ	Nagindas Parekh
480	જયંત ખત્રી	Jayant Khatri
481	ગુલાબદાસ બ્રોકર	Gulabdas Broker
482	સુરેશ દલાલ	Suresh Dalal
483	પટ્ટાઈ	Harrier 
484	ગુલાબી પેણ	Pink-backed pelican
485	ઘોરાડ	Great Indian bustard
486	ગીધ	Vulture
487	રાજગીધ	King vulture
488	સફેદ પીઠ ગીધ	White-backed vulture
489	ટિલોર	Houbara bustard
490	કાગડો	Corvus
491	દૂધરાજ	Indian paradise flycatcher
492	શોબિગી	Common iora
493	કુંજ	Common crane
494	ગરુડ	Eagle
495	કીડીઘર લક્કડખોદ	Rufous woodpecker
496	સુગરી	Ploceidae
497	દરજીડો	Common tailorbird
498	પક્ષી	Birds
499	વન્ય	Wildlife
500	પીરમબેટ	Piram Island
502	તારા	Tara 
503	નવસારી જિલ્લો	Navsari district
504	અમેરિકન ગૅંગ્સ્ટર	American Gangster 
505	સરસ્વતી નદી	Saraswati River, Gujarat
506	ગાંધીધામ	Gandhidham
507	કડી	Kadi, India
508	વડનગર	Vadnagar
509	મહેસાણા	Mehsana
510	ગુજરાત વિદ્યાપીઠ	Gujarat Vidyapith
511	અડાલજ	Adalaj
513	ઝૂલતા મિનારા	Sidi Bashir Mosque
514	સુરત જિલ્લો	Surat district
515	ડાકોર	Dakor
516	ઉંચાઇ	Height
517	રમેશ મહેતા	Ramesh Mehta 
518	વાયુ	Gas
519	ચીનની વિખ્યાત દીવાલ	Great Wall of China
520	અયોધ્યા	Ayodhya
521	પશ્ચિમ	West
522	જળાશય	Reservoir
523	રાજ્ય	Federated state
524	ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	States and union territories of India
525	ઇન્દ્ર	Indra
526	દાળ	Dal
527	હિંમતનગર	Himatnagar
528	ચૈતન્ય મહાપ્રભુ	Chaitanya Mahaprabhu
529	અઝીમ પ્રેમજી	Azim Premji
531	સફારી	Safari 
532	પાવાગઢ	Pavagadh
533	ભદ્રંભદ્ર	Bhadrambhadra
536	જુનાગઢ	Junagadh
537	હેમચંદ્રાચાર્ય	Hemachandra
538	ઇસ્કોન	International Society for Krishna Consciousness
541	પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Puerto Rican Independence Party
542	ધોળાવીરા	Dholavira
543	બાઇબલ	Bible
544	New Testament	Books of the New Testament
545	મહુવા	Mahuva, Bhavnagar
546	સ્વાગત	Welcoming committee/Welcome to Wikipedia
547	સ્વાગત	Welcome
549	પોરબંદર જિલ્લો	Porbandar district
550	આહવા	Ahwa
551	વઘઇ	Waghai
552	જેક સ્પૅરો	Jack Sparrow
553	ચાંપાનેર	Champaner
554	વાંસદા	Vansda
555	દાહોદ જિલ્લો	Dahod district
557	અમરેલી	Amreli
558	બ્રિટીશ એશિયન	British Asian
559	નવસારી	Navsari
560	સાપુતારા	Saputara
561	મરાઠી લોકો	Marathi people
562	ડેબિયન	Debian
563	ગણદેવી	Gandevi
564	તાપી જિલ્લો	Tapi district
565	ઉકાઇ	Ukai
566	ગોધરા	Godhra
567	પાટણ	Patan, Gujarat
568	બીલીમોરા	Bilimora
569	ગંગાસતી	Gangasati
570	રાજકોટ જિલ્લો	Rajkot district
571	વડોદરા જિલ્લો	Vadodara district
572	સંસ્કૃત વ્યાકરણ	Sanskrit grammar
573	વિસનગર	Visnagar
574	નોબૅલ પારિતોષિક	Nobel Prize
575	સંગણક	Computer
577	ભારત ના વિશ્વવિદ્યાલય	Universities in India
578	ધીરુબેન પટેલ	Dhiruben Patel
579	તારક મહેતા	Taarak Mehta
580	ભગવતીકુમાર શર્મા	Bhagwatikumar Sharma
581	રમણભાઈ નીલકંઠ	Ramanbhai Neelkanth
582	બકુલ ત્રિપાઠી	Bakul Tripathi
583	નાનાભાઈ ભટ્ટ 	Nanabhai Bhatt 
584	કે. કા. શાસ્ત્રી	Keshavram Kashiram Shastri
585	મનસુખલાલ ઝવેરી	Mansukhlal Jhaveri
586	દલપતરામ	Dalpatram
587	કલાપી	Kalapi
588	સુંદરમ્	Tribhuvandas Luhar
589	ઇશ્વર પેટલીકર	Ishwar Petlikar
591	નથુરામ ગોડસે	Nathuram Godse
592	નવકાર મંત્ર	Namokar Mantra
600	ધાર્મિક સાહિત્ય	Religious literature
601	ગુજરાતી સાહિત્યકાર	Gujarati-language writers
602	રાપર	Rapar
603	ધાર્મિક સાહિત્યકાર	Religious writers
604	પ્રકાશક	Publishers
605	અંગ્રેજી સાહિત્યકાર	English writers
606	હોળી	Holi
607	ભારત	India
612	પંચમહાલ જિલ્લો	Panchmahal district
613	અમલસાડ	Amalsad
615	હિંદુ સભ્યો	Hindu Wikipedians
617	ઉનાઇ	Unai, Gujarat
618	વલસાડ	Valsad
619	તિથલ	Tithal
620	બકરી	Goat
621	સ્વામિનારાયણ	Swaminarayan
622	ઝઘડીયા	Zaghadia
623	મેઘધનુષ	Rainbow
624	ખાંડવી	Khandvi 
625	આદિવાસી	Adivasi
626	વ્યારા	Vyara
627	ઉમરગામ	Umbergaon
628	ગુજરાતનાં ગામો	Villages in Gujarat
629	ભજન	Bhajan
630	હાંસોટ	Hansot
631	જોવાલાયક સ્થળો	Tourist attractions
634	ઇડર	Idar
635	ઋષભ દેવ	Rishabhanatha
636	બ્રહ્મકુંડ	Brahma Kund
637	કૃષ્ણ	Krishna
638	બારડોલી	Bardoli
639	ચિખલી	Chikhli, Gujarat
640	જલાલપોર	Jalalpore
641	સોનગઢ	Songadh
647	આંતલીયા	Aantaliya
649	નિષ્કુળાનંદ સ્વામી	Nishkulanand Swami
650	દેવાનંદ સ્વામી	Devanand Swami
651	આમોદ	Amod, Gujarat
652	જંબુસર	Jambusar
653	પાદરા	Padra
654	બીલી	Aegle marmelos
655	કાનજીભાઇ મગનભાઇ પટેલ	Kanjibhai Patel
656	આરુણિ	Aruni
657	સત્યના પ્રયોગો અથવા આત્મકથા	The Story of My Experiments with Truth
658	સરસ્વતીચંદ્ર	Saraswatichandra 
659	પૃથિવીવલ્લભ	Prithivivallabh
660	ગુજરાતી સાહિત્ય	Gujarati literature
661	ગુજરાતના મુખ્યમંત્રીઓ	List of Chief Ministers of Gujarat
662	હિંદુ ધર્મ	Hinduism
663	મહર્ષિ દયાનંદ	Dayananda Saraswati
664	શ્રીમદ્ રાજચંદ્ર	Shrimad Rajchandra
665	ભોજા ભગત	Bhoja Bhagat
